location,area,country,count
" Cocoa Beach, Brevard  County",Florida,USA,1
" Daytona Beach, Volusia County",Florida,USA,1
" Huntington Beach, Orange County",California,USA,1
" Kahului, Maui",Hawaii,USA,1
" Kalepolepo, Kihei, Maui",Hawaii,USA,1
" Marathon, Monroe County",Florida,USA,1
" New Smyrna Beach, Volusia County",Florida,USA,1
 Palm Beach County,Florida,USA,1
" Riviera Beach, Palm Beach County",Florida,USA,1
 Vieques,Puerto Rico,USA,1
"""Bunkers"" Eureka, Humboldt County",California,USA,1
"""Stuart Rocks"", Martin County",Florida,USA,1
"""Turnaround"", Cape Kiwanda, Tillamook County",Oregon,USA,1
"1 mile ESE of Navesink, Monmouth County",New Jersey,USA,1
"1 mile off Mala Wharf, Lahaina, Maui",Hawaii,USA,1
1 mile off Miami Beach,Florida,USA,1
"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Florida,USA,1
1.5 miles off Surfside ,Texas,USA,1
"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",California,USA,1
10 miles off Cape Canaveral,Florida,USA,1
"10 miles off Redondo Beach, Los Angeles County",California,USA,1
"10 miles off Santa Barbara, Santa Barbara County",California,USA,1
"10 miles offshore from Sea Isle City, Cape May County",New Jersey,USA,1
100 miles off Ft. Myers Beach,Florida,USA,1
"100 miles off Ocean City, Maryland, in 7000' of water",Maryland,USA,1
100 miles offshore,Florida,USA,1
"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Florida,USA,1
"12 miles northeast of Mayport,  Duval County",Florida,USA,1
"12' tank at Steinhart Aquarium, San Francisco",California,USA,1
120 miles southeast of New Orleans,Louisiana,USA,1
"15 miles north of Sebastian Inlet, Brevard County",Florida,USA,1
15 miles south of Jones Inlet,New York,USA,1
150 miles from Crystal River,Florida,USA,1
150 miles off Cape Henry,Virginia,USA,1
150 miles southeast of Cape Kennedy,Florida,USA,1
16 km west of Digby Gut,Bay of Fundy,CANADA,1
"16 miles north of Fort Pierce Inlet, Indian River County ",Florida,USA,1
16 miles off Hilton Head,South Carolina,USA,1
"2 miles east of Dania Beach, Broward County",Florida,USA,1
"2 miles off Jupiter, Palm Beach County",Florida,USA,1
2 miles off Keahole Airport,Hawaii,USA,1
"2 miles off Pompano Beach, Broward County",Florida,USA,1
2 miles off Santa Catalina Island,California,USA,1
20 miles from Mayport,Florida,USA,1
20 miles off Seabright,New Jersey,USA,1
200 miles east of Savannah,Georgia,USA,1
"200 miles off Hampton Roads, Virginia, USA",Virginia,USA,1
"204s, San Clemente, Orange County",California,USA,1
24 km off Santa Catalina Island in the Channel Islands,California,USA,1
275 miles northeast of Miami,Florida,USA,1
"27th Avenue, New Smyrna Beach, Volusia County",Florida,USA,1
"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream",Connecticut,USA,1
"3 miles east of Jacksonville Beach, Duval County",Florida,USA,1
"3 miles from shore off McGregor Point, Maui",Hawaii,USA,1
3 miles north of the inlet at Palm Beach,Florida,USA,1
"3 miles off Jupiter, Palm Beach County",Florida,USA,1
"3 miles south of Sebastian Inlet State Park, Indian River County",Florida,USA,1
"3 to 4 miles west of Indian Pass, Gulf County",Florida,USA,1
30 miles east of Corpus Christi,Texas,USA,1
30 miles south of Lynn,Massachusetts,USA,1
30 miles south of San Clemente Island,California,USA,1
"34th Avenue North, Myrtle Beach, Horry County",South Carolina,USA,1
40 miles off Cocodrie,Louisiana,USA,1
"40 miles off Islamorada, near Cay Sal",Florida,USA,1
40 miles south of Nantucket,Massachusetts,USA,1
5 miles off the coast,Alabama,USA,1
5 miles south of Palm Beach,Florida,USA,1
5 miles south of Redondo Beach,California,USA,1
50 miles NE of Honolulu,Hawaii,USA,1
50 miles offshore,New Jersey,USA,1
"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",Florida,USA,1
6 miles north of Palm Beach,Florida,USA,1
"6 miles south of Boca Chica Key, Monroe County ",Florida,USA,1
60 miles offshore north of San Juan,Puerto Rico,USA,1
60 miles southeast of Beaufort,South Carolina,USA,1
"6th Avenue North, Myrtle Beach, Horry County",South Carolina,USA,1
70 miles off Tarpon Springs,Florida,USA,1
8 miles off Mobile,Alabama,USA,1
"8 miles off Newport Beach, Orange County",California,USA,1
"8 miles off St. Marks, Wakulla County",Florida,USA,1
"8 miles south of Elliot Key, Miami-Dade County",Florida,USA,1
"8.5 miles south of Ano Nuevo State Reserve, Davenport County",California,USA,1
"9 miles north of Turtle Beach, Siesta Key, Sarasota County",Florida,USA,1
"90 miles east of Hilo, Hawai'i",Hawaii,USA,1
A quarter mile north of Fort Pierce Inlet,Florida,USA,1
"Abalone Point, Westport Union Landing, Mendocino County",California,USA,1
"Absecon, Atlantic County",New Jersey,USA,2
"Adventure Aquarium, Camden",New Jersey,USA,1
"Airplane Beach, Lahina, West Maui",Hawaii,USA,1
"Ala Moana Beach Park, Oah'u",Hawaii,USA,1
"Albergotti Creek, near Air Station boat docks, Beaufort",South Carolina,USA,1
"Albion Cove, Albion, Mendocino County",California,USA,1
"Albuquerue Aquarium, Albuquerue",New Mexico,USA,1
Alenuihaha Channel,Hawaii,USA,1
"Alligator Head, La Jolla, San Diego County",California,USA,1
"Alligator Reef off Islamorada, Monroe County",Florida,USA,1
"Alligator Reef, off Islamorada, Monroe County",Florida,USA,1
"Amelia Island, Nassau County",Florida,USA,2
American Shoals off Key West,Florida,USA,1
"Anaehoomalu Bay, Hawaii",Hawaii,USA,1
"Anahola, Kaua'i",Hawaii,USA,1
Anastasia Island,Florida,USA,1
"Anini Beach, Kaua'i",Hawaii,USA,1
"Ano Nuevo Island, San Mateo, County",California,USA,1
"Ano Nuevo, San Mateo County",California,USA,1
Apalachicola Bay ,Florida,USA,1
"Aptos, Santa Cruz County",California,USA,1
Aquadilla,Puerto Rico,USA,1
"Artifical reef 3 miles off Manatee Beach, Manatee County",Florida,USA,1
Assateague National Seashore,Maryland,USA,1
"At sea, several hundred miles south east of Cape Henry, Virginia",Virginia,USA,1
"Atascadero Beach, Morro Bay, San Luis Obispo County",California,USA,1
"Atlantic Avenue, Palm Beach County",Florida,USA,1
"Atlantic Beach, Carteret  County",North Carolina,USA,1
"Atlantic Beach, Carteret County",North Carolina,USA,1
"Atlantic Beach, Duval County",Florida,USA,2
"Atlantic Beach, Emerald Isle, Carteret County",North Carolina,USA,2
"Atlantic Beach, Horry County",South Carolina,USA,1
"Atlantic Beach, Mayport,  Duval County",Florida,USA,1
"Atlantic City, Atlantic County",New Jersey,USA,4
"Atlantic Dunes Park, Delray Beach, Palm Beach County",Florida,USA,1
"Atlantic, near New Bern, Craven County",North Carolina,USA,1
"Atlantiic Beach, Duval County",Florida,USA,1
"Atlantique Beach, Fire Island, Suffolk County",New York,USA,1
"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Florida,USA,1
"Avalon, Los Angeles County",California,USA,1
"Avila Beach, San Luis Obispo County",California,USA,1
"Avon, Hatteras Island, Outer Banks, Dare County",North Carolina,USA,4
"Awendaw, Charleston County",South Carolina,USA,1
"Awili, South Kona, Hawai'i",Hawaii,USA,1
"Back River, Savannah Beach, Chatham County",Georgia,USA,1
"Baker Beach, San Francisco County",California,USA,1
"Baker's Haulover, Miami Beach",Florida,USA,1
"Bald Head Island, Brunswick County",North Carolina,USA,4
"Ballston Beach, Truro, Cape Cod",Massachusetts,USA,1
Baltimore Aquarium,Maryland,USA,1
"Barbers Point, O'ahu",Hawaii,USA,1
"Barber’s Point, O'ahu",Hawaii,USA,2
"Barnegat Light, Ocean County",New Jersey,USA,1
"Bastendorf Beach, Coos County",Oregon,USA,1
Bathtub Beach ,Florida,USA,1
"Bathtub Reef  Beach, Stuart, Martin County",Florida,USA,1
"Bathtub Reef Beach, Martin County",Florida,USA,1
"Bay Head, Ocean County",New Jersey,USA,1
"Bay St. Louis, Hancock County",Mississippi,USA,1
Bay of Fundy,New Brunswick,CANADA,1
"Bayboro, Pinellas County",Florida,USA,1
"Bayonne, Hudson County",New Jersey,USA,1
"Bayport, Hernando County",Florida,USA,1
"Bayshore Garden, Sarasota Bay, Sarasota County",Florida,USA,1
"Beach 103rd Street, Rockaway ",New York,USA,1
"Beach Haven, Ocean County",New Jersey,USA,1
"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Florida,USA,1
"Beacons Beach, San Diego County",California,USA,1
"Bean Hollow State Beach, San Mateo County",California,USA,1
"Bear Harbor, Mendocino County",California,USA,1
Beaufort Inlet,North Carolina,USA,1
"Behune Beach, Volusia County",Florida,USA,1
"Bellows Beach near Wailea Point, O’ahu",Hawaii,USA,1
"Bethel Shoals, Indian River County",Florida,USA,1
Bethune Beach,Florida,USA,1
"Bethune Beach, Volusia County",Florida,USA,5
"Bethune Beach, south of New Smyrna Beach, Volusia County",Florida,USA,2
"Between  Makena & Molokini, Maui",Hawaii,USA,1
"Between Ala Moana Channel & Kewalo Basin, O'ahu",Hawaii,USA,1
"Between False Klamath & mouth of Klamath River, Del Norte County",California,USA,1
"Between Keawakapu & Makena, Maui",Hawaii,USA,1
"Between Lake Worth & Biscayne Bay, near Hillsboro",Florida,USA,1
Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Hawaii,USA,1
Between Manhattan and The Bronx,New York ,USA,1
"Between Palm  & Salerno Inlets, Martin County",Florida,USA,1
"Between Pescadero Point & Bean Hollow Beach, San Mateo County",California,USA,1
Between Santa Cruz Island and Santa Barbara,California,USA,1
"Between Wrightsville Beach & Carolina Beach, New Hanover County",North Carolina,USA,1
"Big Bayou, St. Petersburg, Pinellas County ",Florida,USA,1
"Big Island off Kona Village Resort, North Kona",Hawaii,USA,1
"Big Pine Key, Monroe County ",Florida,USA,1
"Big Talbot Island, Duval County",Florida,USA,1
"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Florida,USA,1
"Biltmore Beach, near Panama City",Florida,USA,1
"Bird Rock, Tomales Point",California,USA,1
"Bird Rock, Tomales Point, near Marin County / Sonoma County border",California,USA,1
"Bird Rock, near Tomales Point, Marin County",California,USA,1
Biscayne Bay,Florida,USA,1
"Biscayne National Park, Miami",Florida,USA,1
"Blockhouse Beach, Brevard County",Florida,USA,1
"Bluefish Cove, Pt. Lobos State Park, Monterey County",California,USA,1
"Bob Graham Beach, Martin County",Florida,USA,1
"Boca Ciega Bay, Pinellas County",Florida,USA,2
"Boca Ciega Bay, Tampa, Pinellas County",Florida,USA,1
"Boca Grande, Lee County",Florida,USA,3
"Boca Raton, Palm Beach County",Florida,USA,3
"Bodega Rock, Sonoma County",California,USA,2
Bolivar Peninsula,Texas,USA,1
"Bolsa Chica State Park, Orange County",California,USA,1
"Bonita Springs, Lee County",Florida,USA,1
"Bouges Bank, Emerald Isle, Carteret County",North Carolina,USA,1
"Boynton Beach, Palm Beach County",Florida,USA,2
"Branford, New Haven County",Connecticut,USA,1
Brazos,Texas,USA,2
"Brenecke Beach, Po'ipu, Kaua'i",Hawaii,USA,1
"Brennecke Beach, Po'ipu, Kaua'i",Hawaii,USA,1
"Brevard County, a mile north of Sebastian Inlet",Florida,USA,1
"Bridgeport, Fairfield County",Connecticut,USA,2
"Brielle, Monmouth County (Offshore)",New Jersey,USA,1
Bristol Harbor,Rhode Island,USA,1
"Broad Beach, Malibu, Los Angeles County",California,USA,1
Brooklyn,New York,USA,2
"Browns, Oahu",Hawaii,USA,1
"Brown’s Inlet on New River, Onslow Beach",North Carolina,USA,1
"Bryan Beach, Brazoria County",Texas,USA,1
Buck Island,US Virgin Islands,USA,1
"Bull’s Bay, near Charleston",South Carolina,USA,1
"Bunkers, Humboldt Bay, Eureka, Humboldt County",California,USA,3
"Burkes Beach, Hilton Head, Beaufort County",South Carolina,USA,1
"Burnt Cove near Eastport, Washington County",Maine,USA,1
"Butler Beach, St Augustine,       St. Johns County",Florida,USA,1
"Butterfly Beach, Montecito, Santa Barbara County",California,USA,1
"Buxton Beach, Dare County",North Carolina,USA,1
Calibogue Sound,South Carolina,USA,1
"Caloosahatchee River, Lee County",Florida,USA,1
"Cannons, at Ha'ena on the north shore of Kaua'i Island",Hawaii,USA,1
"Canova Beach, Brevard County",Florida,USA,1
Cape Canaveral,Florida,USA,1
"Cape Canaveral, Brevard County",Florida,USA,2
Cape Canso,Nova Scotia,CANADA,1
Cape Cod,Massachusetts,USA,1
Cape Hatteras,North Carolina,USA,1
"Cape Henlopen State Park, Sussex County",Delaware,USA,1
Cape Kiwanda,Oregon,USA,1
"Cape Kiwanda, Tillamook County",Oregon,USA,1
"Cape Kiwanda,Tillamook County",Oregon,USA,1
Cape Lookout Bight,North Carolina,USA,1
"Cape Lookout, Carteret County",North Carolina,USA,1
"Cape Sable, Monroe County",Florida,USA,1
"Cape San Blas, Gulf County",Florida,USA,2
"Capistrano, Orange County",California,USA,1
"Capitola, Santa Cruz County",California,USA,1
"Carlin Park, Jupiter Inlet",Florida,USA,1
"Carlin Park, Jupiter, Palm Beach County",Florida,USA,1
"Carmel, Monterey County",California,USA,1
Carolina Beach,North Carolina,USA,1
"Carolina Beach off Texas Avenue, New Hanover County",North Carolina,USA,1
"Carolina Beach, New Hanover County",North Carolina,USA,2
Carter Cay,Florida,USA,1
"Carysfort Lighthouse, Key Largo, Monroe County",Florida,USA,1
"Casino Beach, Pensacola, Escambia County",Florida,USA,1
"Castle Rock, San Miguel Island, Santa Barbara County",California,USA,1
"Cat Island, Harrison County",Mississippi,USA,1
Catalina Channel,California,USA,1
"Catalina Channel, Los Angeles County",California,USA,1
Catalina Island,California,USA,1
"Cedar Island, Carteret County",North Carolina,USA,1
"Central Gulf Coast, St. John County",Florida,USA,1
Channel between South Padre Island & Padre Island National Seashore,Texas,USA,1
Charleston,South Carolina,USA,7
"Charleston Harbor, Charleston County",South Carolina,USA,4
"Charlie Young Beach, Kihei, Maui",Hawaii,USA,1
Chatham Island,Massachusetts,USA,1
"Chelsea Beach, Suffolk County",Massachusetts,USA,1
"Cherie Down Park, Brevard County",Florida,USA,1
Cherry Grove,South Carolina,USA,1
Chester River,Maryland,USA,1
Chicago (Lake Michigan),Illinois,USA,1
"Chun's Reef, Laniakea, O'ahu",Hawaii,USA,1
"Clam Beach, near Eureka, Humboldt County",California,USA,1
"Clearwater Beach, Pinellas County",Florida,USA,2
"Cocoa  Beach, Brevard County",Florida,USA,1
"Cocoa Beach, Brevard  County",Florida,USA,11
"Cocoa Beach, Brevard County",Florida,USA,12
Coddington Cove,Rhode Island,USA,1
"Coligny Beach, Hilton Head, Beaufort County",South Carolina,USA,3
"Condado Beach, San Juan",Puerto Rico,USA,3
Coney Island,New York,USA,1
"Coquina Beach, Anna Maria Island, Manatee County",Florida,USA,1
"Coral Cove Park, Jupiter Inlet, Palm Beach County",Florida,USA,1
"Coral Cove Park, Jupiter Island, Martin County",Florida,USA,1
"Coral Cove Park, Palm Beach County",Florida,USA,1
"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",Virginia,USA,1
"Corners Beach, Jupiter, Palm Beach County",Florida,USA,1
"Corolla, Currituck County",North Carolina,USA,1
"Corona Del Mar, Newport, Orange County",California,USA,1
"Coronado Strand, San Diego County",California,USA,1
Corpus Christi,Texas,USA,1
Cortes Bank,California,USA,1
"Cove Beach / Kalama Beach, Kihei, Maui",Hawaii,USA,1
"Crawford Road beach approach at New Smyrna Beach, Volusia County",Florida,USA,1
Crescent Beach St. Johns County,Florida,USA,2
"Crescent Beach, Sarasota County",Florida,USA,1
"Crescent Beach, St Johns County",Florida,USA,1
"Crescent Beach, St. Augustine, St. Johns County",Florida,USA,1
"Crescent Beach, St. Johns County",Florida,USA,3
"Croatan Beach, Virginia Beach, ",Virginia,USA,1
Crystal Beach (east of Galveston),Texas,USA,1
"Crystal Beach, Galveston  County",Texas,USA,1
Cumberland Island,Georgia,USA,1
"Curlew Island, Breton Sound",Louisiana,USA,1
"Dana Point, Orange County",California,USA,1
"Dana Point, San Clemente, Orange County",California,USA,1
"Dania, Broward County",Florida,USA,1
"Davenport Landing, Santa Cruz County",California,USA,2
"Davenport Light, San Mateo County",California,USA,1
"Davenport, Santa Cruz County",California,USA,1
"Davidson's Surf Break, Kekaha, Kaua'i",Hawaii,USA,1
"Davidsons Beach, Kekaha, Kauai",Hawaii,USA,1
"Davis Shore, east of Beaufor, Carteret Countyt",North Carolina,USA,1
"Daws Island, Broad River (near Beaufort)",South Carolina,USA,1
"Daytona  Beach, Volusia County",Florida,USA,1
Daytona Beach Shores,Florida,USA,2
"Daytona Beach Shores,  Volusia County",Florida,USA,1
"Daytona Beach Shores, Volusia County",Florida,USA,5
"Daytona Beach, Volusia County",Florida,USA,30
"Daytona Beach, Volusia County ",Florida,USA,2
"Daytona, Volusia County",Florida,USA,1
"Daytona, Volusia County ",Florida,USA,1
"DeBordieu Colony, Georgetown County",South Carolina,USA,1
"Debordieu Beach, Georgetown County",South Carolina,USA,1
"Deer Creek Beach, Ventura County",California,USA,1
"Deerfield Beach (near Boca Raton), Broward County",Florida,USA,1
"Deerfield Beach, Broward County",Florida,USA,1
Delaware Lightship,Delaware,USA,1
Delray Beach,Florida,USA,2
"Delray Beach, Palm Beach County",Florida,USA,2
"Destin, Okaloosa County",Florida,USA,2
"Destin, Walton County",Florida,USA,1
Dewey Beach,Delaware,USA,1
"Dillon Beach, Marin County",California,USA,4
"Disney / Vero Beach, Indian River County",Florida,USA,1
"Dog Patch, San Onofre",California,USA,1
"Drakes Estero, Point Reyes, Marin County",California,USA,1
"East Beach, Galveston",Texas,USA,1
East Moloka'i,Hawaii,USA,1
East River,New York,USA,1
"Edisto Beach, Colleton County",South Carolina,USA,1
"Egg Harbor, Atlantic County",New Jersey,USA,1
"Egmont Key, Hillsborough County",Florida,USA,1
"Ehukai Beach Park, Sunset Beach, O'ahu",Hawaii,USA,1
"Eight Mile Beach, Galveston",Texas,USA,1
"El Pescador Beach, Los Angeles County",California,USA,1
"Elephant Rock near Tomales Point, Marin County",California,USA,1
"Elizabeth City, Pasquotank County  ",North Carolina,USA,1
Elliot Key,Florida,USA,2
"Elliott Cut, Charleston County",South Carolina,USA,1
"Emerald Isle Pier (near Morehead City), Carteret County",North Carolina,USA,2
"Emerald Isle, Carteret County",North Carolina,USA,5
"Englewood Beach, Charlotte County",Florida,USA,1
"Everglades National Park, Monroe County",Florida,USA,1
"Ewa Beach, O'ahu",Hawaii,USA,1
"Ewa, O'ahu",Hawaii,USA,1
"Fairmount Park Aquarium, Philadelphia",Pennsylvania,USA,1
False Cape,Virginia,USA,1
Farallon Islands,California,USA,4
"Faria Beach, Ventura County",California,USA,1
Fenwick Island,Delaware,USA,1
"Fernandina Beach, Amelia Island, Nassau County",Florida,USA,1
"Fernandina Beach, Nassau County",Florida,USA,5
"Fernandina, Nassau County",Florida,USA,1
"Figure Eight Island,  New Hanover County",North Carolina,USA,1
"Figure Eight Island, Wilmington, New Hanover County",North Carolina,USA,1
"Flagler Beach, Flagler County",Florida,USA,5
"Fletcher Beach, Hutchinson Island, Martin County",Florida,USA,1
Florence,Oregon,USA,1
"Florence, Lane County",Oregon,USA,1
Florida Bay,Florida,USA,1
Florida Keys,Florida,USA,8
Florida Keys ,Florida,USA,1
"Florida Keys 25ºN,82ºW",Florida,USA,1
"Florida Keys, Monroe County",Florida,USA,9
Florida Straits,Florida,USA,2
"Floridana Beach, Brevard County",Florida,USA,4
"Follett's Island, Brazoria County",Texas,USA,1
Folly Beach,South Carolina,USA,2
"Folly Beach, Charleston County",South Carolina,USA,7
"Folly Island, near Charleston",South Carolina,USA,3
"Fort Fisher, New Hanover County",North Carolina,USA,1
Fort Lauderdale,Florida,USA,3
"Fort Lauderdale, Broward County",Florida,USA,6
"Fort Macon State Beach, Carteret County",North Carolina,USA,1
Fort Moultrie,South Carolina,USA,1
Fort Myers,Florida,USA,1
"Fort Myers Beach, Lee County",Florida,USA,1
"Fort Pickens, Escambia County",Florida,USA,1
"Fort Pierce Inlet State Park, St Lucie County",Florida,USA,1
"Fort Pierce Inlet State Park, St. Lucie County",Florida,USA,1
"Fort Pierce Inlet, St Lucie County",Florida,USA,2
"Fort Pierce Inlet, St. Lucie County",Florida,USA,1
"Fort Pierce, St Lucie County",Florida,USA,2
"Fort Pierce, St. Lucie County",Florida,USA,2
"Fort Pierce, St. Lucie County ",Florida,USA,1
"Fort Walton Beach, Okaloosa County",Florida,USA,1
Fort Worth,Florida,USA,1
"Fourchu, Cape Breton Island",Nova Scotia,CANADA,1
"Fowey Rock Light, Miami",Florida,USA,1
"Fowey Rock, Key Biscayne",Florida,USA,1
"Franklin Point, San Mateo County",California,USA,3
French Frigate Shoals,Hawaii,USA,1
Fripp Island,South Carolina,USA,1
