location,area,country,count,latitude,longitude
"1 mile ESE of Navesink, Monmouth County",New Jersey,USA,1,40.403963,-74.043614
"1 mile off Mala Wharf, Lahaina, Maui",Hawaii,USA,1,20.880053,-156.668693
1 mile off Miami Beach,Florida,USA,1,25.816755,-80.139175
"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Florida,USA,1,29.0258132,-80.9271271
1.5 miles off Surfside,Texas,USA,1,28.9433,-95.29771
"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",California,USA,1,40.7906871,-124.1673746
10 miles off Cape Canaveral,Florida,USA,1,28.3881442,-80.6056464
"10 miles off Redondo Beach, Los Angeles County",California,USA,1,33.8455911,-118.3886766
"10 miles off Santa Barbara, Santa Barbara County",California,USA,1,34.4221319,-119.702667
100 miles off Ft. Myers Beach,Florida,USA,1,26.4520248,-81.948145
100 miles offshore,Florida,USA,1,29.119856,-80.997424
"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Florida,USA,1,29.815611,-84.831566
"12 miles northeast of Mayport,  Duval County",Florida,USA,1,30.3933366,-81.4305924
"12' tank at Steinhart Aquarium, San Francisco",California,USA,1,37.7792588,-122.4193286
120 miles southeast of New Orleans,Louisiana,USA,1,29.9759983,-90.0782127
"15 miles north of Sebastian Inlet, Brevard County",Florida,USA,1,28.306938,-80.701238
15 miles south of Jones Inlet,New York,USA,1,43.754729,-74.793205
150 miles from Crystal River,Florida,USA,1,27.97762,-81.769611
150 miles off Cape Henry,Virginia,USA,1,36.8293,-79.99171
150 miles southeast of Cape Kennedy,Florida,USA,1,30.82825,-83.54183
16 miles off Hilton Head,South Carolina,USA,1,32.21632,-80.75261
"2 miles east of Dania Beach, Broward County",Florida,USA,1,26.0524224,-80.143929
"2 miles off Jupiter, Palm Beach County",Florida,USA,1,26.9342246,-80.0942087
"2 miles off Pompano Beach, Broward County",Florida,USA,1,26.2378597,-80.1247667
2 miles off Santa Catalina Island,California,USA,1,38.156009,-81.172819
20 miles off Seabright,New Jersey,USA,1,39.66502,-74.738208
200 miles east of Savannah,Georgia,USA,1,32.0790074,-81.0921335
"200 miles off Hampton Roads, Virginia, USA",Virginia,USA,1,39.08118,-82.53794
"204s, San Clemente, Orange County",California,USA,1,33.4270275,-117.6124179
275 miles northeast of Miami,Florida,USA,1,25.7741728,-80.19362
"27th Avenue, New Smyrna Beach, Volusia County",Florida,USA,1,29.0094139,-80.8784575
"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream",Connecticut,USA,1,41.103601,-73.421044
"3 miles east of Jacksonville Beach, Duval County",Florida,USA,1,30.2946859,-81.3931396
"3 miles from shore off McGregor Point, Maui",Hawaii,USA,1,19.647634,-155.533256
3 miles north of the inlet at Palm Beach,Florida,USA,1,26.7056172,-80.0361517
"3 miles off Jupiter, Palm Beach County",Florida,USA,1,26.9342246,-80.0942087
"3 miles south of Sebastian Inlet State Park, Indian River County",Florida,USA,1,28.5421109,-81.3790304
30 miles east of Corpus Christi,Texas,USA,1,27.7635302,-97.4033191
30 miles south of Lynn,Massachusetts,USA,1,42.466763,-70.9494939
30 miles south of San Clemente Island,California,USA,1,45.19943,-96.018627
"34th Avenue North, Myrtle Beach, Horry County",South Carolina,USA,1,33.7126537,-78.8598368
40 miles off Cocodrie,Louisiana,USA,1,29.24689,-90.66148
"40 miles off Islamorada, near Cay Sal",Florida,USA,1,28.019076,-81.86496
40 miles south of Nantucket,Massachusetts,USA,1,27.317083,-82.576675
5 miles off the coast,Alabama,USA,1,26.724847,-80.088791
5 miles south of Palm Beach,Florida,USA,1,26.7056172,-80.0361517
5 miles south of Redondo Beach,California,USA,1,33.8455911,-118.3886766
50 miles NE of Honolulu,Hawaii,USA,1,21.304547,-157.855676
50 miles offshore,New Jersey,USA,1,40.1897715,-74.710633
"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",Florida,USA,1,25.7741728,-80.19362
6 miles north of Palm Beach,Florida,USA,1,26.7056172,-80.0361517
"6 miles south of Boca Chica Key, Monroe County",Florida,USA,1,28.5421109,-81.3790304
60 miles southeast of Beaufort,South Carolina,USA,1,32.4315813,-80.6698286
"6th Avenue North, Myrtle Beach, Horry County",South Carolina,USA,1,33.690881,-78.885836
70 miles off Tarpon Springs,Florida,USA,1,28.1470965,-82.756367
8 miles off Mobile,Alabama,USA,1,30.6913462,-88.0437509
"8 miles off Newport Beach, Orange County",California,USA,1,33.6170092,-117.9294401
"8 miles off St. Marks, Wakulla County",Florida,USA,1,30.1612024,-84.2064795
"8 miles south of Elliot Key, Miami-Dade County",Florida,USA,1,25.61606,-80.490594
"8.5 miles south of Ano Nuevo State Reserve, Davenport County",California,USA,1,37.122933,-122.30781
"9 miles north of Turtle Beach, Siesta Key, Sarasota County",Florida,USA,1,27.276201,-82.5642993
"90 miles east of Hilo, Hawai'i",Hawaii,USA,1,19.7073734,-155.08158
A quarter mile north of Fort Pierce Inlet,Florida,USA,1,40.363605,-111.980453
"Abalone Point, Westport Union Landing, Mendocino County",California,USA,1,39.675699,-123.791001
"Absecon, Atlantic County",New Jersey,USA,2,39.4284503,-74.4957076
"Adventure Aquarium, Camden",New Jersey,USA,1,39.94544275,-75.13149609390186
"Airplane Beach, Lahina, West Maui",Hawaii,USA,1,33.713577,-88.017164
"Ala Moana Beach Park, Oah'u",Hawaii,USA,1,21.291071,-157.842672
"Albergotti Creek, near Air Station boat docks, Beaufort",South Carolina,USA,1,32.4315813,-80.6698286
"Albion Cove, Albion, Mendocino County",California,USA,1,39.2274004,-123.7741808
"Albuquerue Aquarium, Albuquerue",New Mexico,USA,1,35.093122,-106.679141
Alenuihaha Channel,Hawaii,USA,1,20.63333,-156.04167
"Alligator Head, La Jolla, San Diego County",California,USA,1,32.85116,-117.27337
"Alligator Reef off Islamorada, Monroe County",Florida,USA,1,24.9236561,-80.6291479
"Alligator Reef, off Islamorada, Monroe County",Florida,USA,1,24.987845,-80.545258
"Amelia Island, Nassau County",Florida,USA,2,30.6624329,-81.7707334
American Shoals off Key West,Florida,USA,1,24.560722,-81.769733
"Anaehoomalu Bay, Hawaii",Hawaii,USA,1,19.9154922,-155.8897838
"Anahola, Kaua'i",Hawaii,USA,1,22.1452778,-159.3155556
Anastasia Island,Florida,USA,1,28.5421109,-81.3790304
"Anini Beach, Kaua'i",Hawaii,USA,1,22.2247707,-159.44875198507845
"Ano Nuevo Island, San Mateo, County",California,USA,1,37.496904,-122.3330573
"Ano Nuevo, San Mateo County",California,USA,1,37.10829805,-122.33682377207748
Apalachicola Bay,Florida,USA,1,29.7255084,-84.9827725
"Aptos, Santa Cruz County",California,USA,1,36.96712285,-121.88966809668395
Aquadilla,Puerto Rico,USA,1,26.6495,-98.34557
"Artifical reef 3 miles off Manatee Beach, Manatee County",Florida,USA,1,27.517106,-82.717677
Assateague National Seashore,Maryland,USA,1,38.14859785,-75.18583328346526
"At sea, several hundred miles south east of Cape Henry, Virginia",Virginia,USA,1,38.874099,-77.22622
"Atascadero Beach, Morro Bay, San Luis Obispo County",California,USA,1,35.3658075,-120.849901
"Atlantic Avenue, Palm Beach County",Florida,USA,1,26.7234824,-80.0383482
"Atlantic Beach, Carteret  County",North Carolina,USA,1,34.6990505,-76.7402108
"Atlantic Beach, Carteret County",North Carolina,USA,1,34.6990505,-76.7402108
"Atlantic Beach, Duval County",Florida,USA,2,30.3344077,-81.398696
"Atlantic Beach, Emerald Isle, Carteret County",North Carolina,USA,2,34.6554744,-77.0580759
"Atlantic Beach, Horry County",South Carolina,USA,1,33.802564,-78.7167719
"Atlantic Beach, Mayport,  Duval County",Florida,USA,1,30.3956432,-81.4298458
"Atlantic City, Atlantic County",New Jersey,USA,4,39.3642852,-74.4229351
"Atlantic Dunes Park, Delray Beach, Palm Beach County",Florida,USA,1,26.44199905,-80.06139109399446
"Atlantic, near New Bern, Craven County",North Carolina,USA,1,35.1084931,-77.0441143
"Atlantiic Beach, Duval County",Florida,USA,1,30.288074,-81.391137
"Atlantique Beach, Fire Island, Suffolk County",New York,USA,1,40.6417443,-73.1728734
"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Florida,USA,1,27.55698,-80.32477
"Avalon, Los Angeles County",California,USA,1,33.34221,-118.3272612
"Avila Beach, San Luis Obispo County",California,USA,1,35.1799752,-120.731841
"Avon, Hatteras Island, Outer Banks, Dare County",North Carolina,USA,4,35.6333866,-75.6869011
"Awendaw, Charleston County",South Carolina,USA,1,33.0376703,-79.613127
"Awili, South Kona, Hawai'i",Hawaii,USA,1,19.0197162,-155.8502058
"Back River, Savannah Beach, Chatham County",Georgia,USA,1,31.99383,-80.84844
"Baker Beach, San Francisco County",California,USA,1,37.7931092,-122.4838421914283
"Baker's Haulover, Miami Beach",Florida,USA,1,25.900128,-80.122985
"Bald Head Island, Brunswick County",North Carolina,USA,4,33.8618933,-77.995528
"Ballston Beach, Truro, Cape Cod",Massachusetts,USA,1,42.000570749999994,-70.02088163465946
Baltimore Aquarium,Maryland,USA,1,39.05917865,-76.39899984450551
"Barbers Point, O'ahu",Hawaii,USA,1,37.785314,-122.293105
"Barber’s Point, O'ahu",Hawaii,USA,2,33.756007,-118.012838
"Barnegat Light, Ocean County",New Jersey,USA,1,39.7537149,-74.1088188
"Bastendorf Beach, Coos County",Oregon,USA,1,43.3472071,-124.34409411437815
Bathtub Beach,Florida,USA,1,27.18588305,-80.16071626913461
"Bathtub Reef  Beach, Stuart, Martin County",Florida,USA,1,27.197983,-80.2519175
"Bathtub Reef Beach, Martin County",Florida,USA,1,27.185899,-80.160728
"Bay Head, Ocean County",New Jersey,USA,1,40.0717828,-74.0543036
"Bay St. Louis, Hancock County",Mississippi,USA,1,30.3132453,-89.3343223
Bay of Fundy,New Brunswick,CANADA,1,44.8512466,-66.19778170407118
"Bayboro, Pinellas County",Florida,USA,1,35.1429445,-76.7702093
"Bayonne, Hudson County",New Jersey,USA,1,40.6687141,-74.1143091
"Bayport, Hernando County",Florida,USA,1,28.5458279,-82.6420452
"Bayshore Garden, Sarasota Bay, Sarasota County",Florida,USA,1,27.332353,-82.578781
"Beach 103rd Street, Rockaway",New York,USA,1,40.897166,-74.5152
"Beach Haven, Ocean County",New Jersey,USA,1,39.5630072,-74.2406089
"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Florida,USA,1,29.047109,-80.926829
"Beacons Beach, San Diego County",California,USA,1,36.8465642,-121.8046101
"Bean Hollow State Beach, San Mateo County",California,USA,1,37.2442516,-122.41842397139548
"Bear Harbor, Mendocino County",California,USA,1,39.9129259,-123.9380805
Beaufort Inlet,North Carolina,USA,1,34.722991,-76.653098
"Behune Beach, Volusia County",Florida,USA,1,29.052386,-81.156198
"Bellows Beach near Wailea Point, O’ahu",Hawaii,USA,1,19.647634,-155.533256
"Bethel Shoals, Indian River County",Florida,USA,1,27.690385,-80.574094
Bethune Beach,Florida,USA,1,28.9491539,-80.83783
"Bethune Beach, Volusia County",Florida,USA,5,28.9491539,-80.83783
"Bethune Beach, south of New Smyrna Beach, Volusia County",Florida,USA,2,29.028874,-80.889497
"Between  Makena & Molokini, Maui",Hawaii,USA,1,55.0710901,-131.46617
"Between Ala Moana Channel & Kewalo Basin, O'ahu",Hawaii,USA,1,34.031211,-118.512369
"Between False Klamath & mouth of Klamath River, Del Norte County",California,USA,1,41.54572,-124.068023
"Between Keawakapu & Makena, Maui",Hawaii,USA,1,20.655027,-156.4424385
"Between Lake Worth & Biscayne Bay, near Hillsboro",Florida,USA,1,27.97762,-81.769611
Between Manhattan and The Bronx,New York ,USA,1,40.71651185,-74.00045445900378
"Between Palm  & Salerno Inlets, Martin County",Florida,USA,1,27.139583,-80.210375
Between Santa Cruz Island and Santa Barbara,California,USA,1,33.961633,-119.728609
"Between Wrightsville Beach & Carolina Beach, New Hanover County",North Carolina,USA,1,34.039773,-77.897158
"Big Bayou, St. Petersburg, Pinellas County",Florida,USA,1,27.7403213,-82.6343022
"Big Island off Kona Village Resort, North Kona",Hawaii,USA,1,30.829423,-82.609586
"Big Pine Key, Monroe County",Florida,USA,1,24.6698652,-81.353969
"Big Talbot Island, Duval County",Florida,USA,1,30.4835724,-81.4400884
"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Florida,USA,1,28.5421109,-81.3790304
"Biltmore Beach, near Panama City",Florida,USA,1,30.1586518,-85.6602936
"Bird Rock, Tomales Point",California,USA,1,38.214074,-122.974795
"Bird Rock, Tomales Point, near Marin County / Sonoma County border",California,USA,1,48.6966327,-94.2782474
"Bird Rock, near Tomales Point, Marin County",California,USA,1,38.214074,-122.974795
Biscayne Bay,Florida,USA,1,25.8825951,-80.1806025
"Biscayne National Park, Miami",Florida,USA,1,25.6439925,-80.1664363
"Blockhouse Beach, Brevard County",Florida,USA,1,28.306938,-80.701238
"Bluefish Cove, Pt. Lobos State Park, Monterey County",California,USA,1,36.133405,-121.323109
"Bob Graham Beach, Martin County",Florida,USA,1,27.081959,-80.398486
"Boca Ciega Bay, Pinellas County",Florida,USA,2,27.805859,-82.7859355
"Boca Ciega Bay, Tampa, Pinellas County",Florida,USA,1,27.935231,-82.495716
"Boca Grande, Lee County",Florida,USA,3,26.7489586,-82.262039
"Boca Raton, Palm Beach County",Florida,USA,3,26.3586885,-80.0830984
"Bodega Rock, Sonoma County",California,USA,2,38.5110803,-122.8473388
Bolivar Peninsula,Texas,USA,1,29.4782878,-94.5799145
"Bolsa Chica State Park, Orange County",California,USA,1,33.69429,-118.047167
"Bonita Springs, Lee County",Florida,USA,1,26.339806,-81.7786972
"Bouges Bank, Emerald Isle, Carteret County",North Carolina,USA,1,34.6653135,-77.0382187
"Boynton Beach, Palm Beach County",Florida,USA,2,26.5256179,-80.0666026
"Branford, New Haven County",Connecticut,USA,1,41.2795414,-72.8150989
Brazos,Texas,USA,2,32.6615198,-98.1219883
"Brenecke Beach, Po'ipu, Kaua'i",Hawaii,USA,1,19.470916,-155.920671
"Brennecke Beach, Po'ipu, Kaua'i",Hawaii,USA,1,21.873229,-159.451274
"Bridgeport, Fairfield County",Connecticut,USA,2,41.1792695,-73.1887863
"Brielle, Monmouth County (Offshore)",New Jersey,USA,1,40.1078931,-74.0565263
Bristol Harbor,Rhode Island,USA,1,41.661213,-71.2822716
"Broad Beach, Malibu, Los Angeles County",California,USA,1,34.035683,-118.856264
Brooklyn,New York,USA,2,40.6526006,-73.9497211
"Browns, Oahu",Hawaii,USA,1,41.1567621,-74.3482076
"Brown’s Inlet on New River, Onslow Beach",North Carolina,USA,1,27.713137,-80.387618
"Bryan Beach, Brazoria County",Texas,USA,1,28.8833061,-95.3785523
Buck Island,US Virgin Islands,USA,1,40.91506,-80.74563
"Bull’s Bay, near Charleston",South Carolina,USA,1,32.7884363,-79.9399309
"Bunkers Eureka, Humboldt County",California,USA,1,40.793115,-124.177181
"Bunkers, Humboldt Bay, Eureka, Humboldt County",California,USA,3,40.7906871,-124.1673746
"Burkes Beach, Hilton Head, Beaufort County",South Carolina,USA,1,32.1933234,-80.69492145170693
"Burnt Cove near Eastport, Washington County",Maine,USA,1,44.90241,-67.016551
"Butler Beach, St Augustine,       St. Johns County",Florida,USA,1,29.8244445,-81.27262735619469
"Butterfly Beach, Montecito, Santa Barbara County",California,USA,1,34.41760105,-119.64898168655026
"Buxton Beach, Dare County",North Carolina,USA,1,35.258538,-75.539712
Calibogue Sound,South Carolina,USA,1,32.078966199999996,-80.86201906551977
"Caloosahatchee River, Lee County",Florida,USA,1,26.7214836,-81.692193
"Cannons, at Ha'ena on the north shore of Kaua'i Island",Hawaii,USA,1,21.278075,-157.770357
"Canova Beach, Brevard County",Florida,USA,1,28.1341798,-80.5786607
Cape Canaveral,Florida,USA,1,28.3881442,-80.6056464
"Cape Canaveral, Brevard County",Florida,USA,2,28.3881442,-80.6056464
Cape Canso,Nova Scotia,CANADA,1,45.3059797,-60.939572
Cape Cod,Massachusetts,USA,1,42.358752,-71.531484
Cape Hatteras,North Carolina,USA,1,35.2252064,-75.5279144
"Cape Henlopen State Park, Sussex County",Delaware,USA,1,38.77564,-75.099208
Cape Kiwanda,Oregon,USA,1,45.2167126,-123.9803347
"Cape Kiwanda, Tillamook County",Oregon,USA,1,45.215783900000005,-123.96959232271179
"Cape Kiwanda,Tillamook County",Oregon,USA,1,45.215783900000005,-123.96959232271179
Cape Lookout Bight,North Carolina,USA,1,34.088433,-81.166599
"Cape Lookout, Carteret County",North Carolina,USA,1,34.6054423,-76.536312
"Cape Sable, Monroe County",Florida,USA,1,25.1329,-81.0273
"Cape San Blas, Gulf County",Florida,USA,2,30.08937,-85.60993
"Capistrano, Orange County",California,USA,1,33.1683032,-117.29128233583884
"Capitola, Santa Cruz County",California,USA,1,36.9762927,-121.954057
"Carlin Park, Jupiter Inlet",Florida,USA,1,29.573247,-81.593015
"Carlin Park, Jupiter, Palm Beach County",Florida,USA,1,26.92914025,-80.07059498915211
"Carmel, Monterey County",California,USA,1,39.3306563,-79.5544986
Carolina Beach,North Carolina,USA,1,34.0351727,-77.8935966
"Carolina Beach off Texas Avenue, New Hanover County",North Carolina,USA,1,26.084383,-81.719638
"Carolina Beach, New Hanover County",North Carolina,USA,2,34.0351727,-77.8935966
Carter Cay,Florida,USA,1,36.27373,-82.141324
"Carysfort Lighthouse, Key Largo, Monroe County",Florida,USA,1,25.256463,-80.312069
"Casino Beach, Pensacola, Escambia County",Florida,USA,1,30.406006,-87.230798
"Castle Rock, San Miguel Island, Santa Barbara County",California,USA,1,34.7136533,-119.985823
"Cat Island, Harrison County",Mississippi,USA,1,30.4553392,-89.1313136
Catalina Channel,California,USA,1,33.4305826,-118.5067462
"Catalina Channel, Los Angeles County",California,USA,1,33.4305826,-118.5067462
Catalina Island,California,USA,1,36.7014631,-118.755997
"Cedar Island, Carteret County",North Carolina,USA,1,34.8496625,-76.5931208
"Central Gulf Coast, St. John County",Florida,USA,1,28.598042,-81.351977
